Name;Description;;;
Bottle for Life;By purchasing one reusable water bottle, you could save an average of 1,500 plastic water bottles per year and $3,000;;;
Plant-Based Power;According to Science magazine, switching to a vegetarian or vegan diet can reduce your carbon footprint by 73 percent and is one of the best ways to fight climate change.;;;
Precious Drops;Only 3 percent of the Earth’s water is freshwater, and less than 1 percent is safe for drinking, according to the U.S. Bureau of Reclamation.;;;
Clean but Toxic;According to the EPA, certain chemicals in cleaning products may be detrimental to aquatic habitats, like alkylphenol ethoxylates, which in some studies has affected the reproduction of wildlife.;;;
Food Waste Crisis;Thirty to 40 percent of the U.S. food supply ends up as waste, and the largest category of items that end up in landfills, according to the U.S. Food & Drug Administration.;;;
Plastic Never Dies;According to EarthDay.org, 335 million metric tons of plastic are produced each year with half of that destined for single use before it ends up in a landfill or the ocean—where it will remain forever, never decomposing.;;;
Poverty and Climate;Climate change could push 122 million more people, mainly farmers, into extreme poverty by 2030.;;;
Water Under Threat;Water scarcity affects 40% of the world’s population. For every 1°C rise, 500 million additional people will face a 20% loss in renewable water resources.;;;
Rising Food Costs;By 2050, climate change is expected to increase cereal prices by 29% by 2050.;;;
Climate Disasters Rising;In the past 10 years, 83% of all disasters triggered by natural hazards were caused by events relating to the extreme weather and other effects of climate change.;;;
Sweden Leads in Recycling;Sweden recycles nearly 99% of its household waste, with less than 1% ending up in landfills. It’s also a global leader in waste-to-energy technology, where waste is converted into heat and electricity.;;;
The EU’s Plastic Ban;As of 2021, the EU banned single-use plastic products like straws, cutlery, and plates to combat plastic pollution, aiming to protect marine ecosystems.;;;
European Renewable Energy Growth;In 2020, 38% of the EU's electricity came from renewable sources, surpassing fossil fuels for the first time in history, according to Ember and Agora Energiewende.;;;
Sweden’s Carbon Neutral Target;Sweden aims to become carbon neutral by 2045, with a goal to reduce emissions by 85% and offset the remaining 15% through sustainable practices.;;;
Food Waste in Europe;Around 88 million tons of food are wasted annually in the EU, costing approximately €143 billion. Reducing food waste is seen as critical for both climate action and food security.;;;
Water Stress in Europe;According to the European Environment Agency (EEA), southern Europe faces severe water stress, with some regions already experiencing drought-like conditions due to climate change.;;;
Deforestation in the Amazon;While not European-specific, global deforestation impacts Europe through biodiversity loss and increased CO2 emissions. Approximately 10% of Europe’s imported agricultural goods contribute to deforestation abroad.;;;
Microplastics in the Arctic;A 2022 study found microplastic particles in Arctic ice and snow, highlighting the global scale of plastic pollution, which affects even the most remote regions.;;;
Electric Vehicle Growth;Norway leads the world in electric vehicle adoption, with over 80% of new cars sold being electric. The EU plans to phase out new petrol and diesel car sales by 2035.;;;
The European Green Deal;The EU’s Green Deal aims to make Europe the first climate-neutral continent by 2050, investing in renewable energy, sustainable farming, and green transportation.;;;
Global Ice Loss;Research shows that Earth lost 28 trillion tons of ice between 1994 and 2017, with melting glaciers contributing to rising sea levels that threaten coastal regions globally.;;;
Ocean Plastic Pollution;Over 150 million tons of plastic are currently floating in the world’s oceans, with 8 million more entering each year. The EU’s Circular Economy Action Plan targets reducing marine litter significantly.;;;
Sweden’s Meat Consumption Drop;Sweden saw a 4.5% drop in meat consumption in 2022, reflecting a shift toward plant-based diets and increased environmental awareness.;;;
The Great Green Wall of Africa;An international project aims to combat desertification in Africa by planting trees across 8,000 km of land. The initiative also addresses poverty and food insecurity.;;;
Biodiversity Loss in Europe;The European Commission reports that 81% of EU habitats are in poor condition due to agriculture, urbanization, and pollution, emphasizing the need for stronger conservation policies.;;;
Solar Power Boom;In 2022, Europe added 41 GW of solar power capacity—enough to power 12 million homes—breaking records for renewable energy expansion.;;;
Sweden’s Green Steel Innovation;Sweden developed the world’s first fossil-free steel, reducing CO2 emissions by up to 90% compared to traditional steel production.;;;
Bee Populations in Decline;40% of Europe’s bee species face extinction due to habitat loss and pesticides, threatening food security since pollinators are vital for crop production.;;;
Heatwaves in Europe;Europe experienced its hottest summer on record in 2022, with heatwaves becoming more frequent and intense due to global warming.;;;
Global Carbon Budget Running Out;Scientists warn that the world has less than a decade to halve emissions to keep global warming below 1.5°C, the critical threshold set by the Paris Agreement.;;;
